abnormal,-1
absen,-1
absurd,-1
acerbic,-1
adaptif,1
adil,1
advokat,1
afinitas,1
afirmasi,1
agresi,-1
agresif,-1
agresivitas,-1
agresor,-1
agrivation,-1
agung,1
ahli,1
aib,-1
ajaib,1
akal,1
aklamasi,1
akomodatif,1
akurat,1
alarm,-1
alasan,-1
alergi,-1
altruistis,1
aman,1
amat,1
ambigu,-1
ambisius,1
ambivalen,-1
ambivalensi,-1
amoralitas,-1
amuk,-1
anarki,-1
anarkis,-1
anarkisme,-1
ancaman,-1
andal,1
aneh,1
aneh,-1
anehnya,-1
anemia,-1
anggun,1
angkuh,-1
anomali,-1
antagonis,-1
antagonisme,-1
antek,-1
anti-,-1
anti-Amerika,-1
anti-israeli,-1
anti-kita,-1
antipati,-1
anti-pekerjaan,-1
anti-proliferasi,-1
anti-putih,-1
anti-semit,-1
antisosial,-1
antitesis,-1
antusias,1
antusiasme,1
apak,-1
apati,-1
apatis,-1
apek,-1
apik,1
apokaliptik,-1
apresiatif,1
argumentatif,-1
artinya,-1
asam,-1
asap,-1
asing,-1
asininely,-1
asli,1
aspersi,-1
aspirasi,1
assult,-1
asusila,-1
atrophia,-1
autentik,1
awan,-1
béda,-1
babi,-1
backaching,-1
badai,-1
Bagus,1
bagus,1
bahagia,1
bahaya,-1
baik,1
Baik,1
baiklah,1
baji,-1
bajingan,-1
bakat,1
bakat,-1
bakiak,-1
bandel,-1
bandot,-1
bangga,1
bangkrut,-1
banteng****,-1
banteng----,-1
bantingan,-1
bantuan,1
banyak,1
barbar,-1
bashing,-1
basi,-1
batal,-1
batalkan,-1
batas,-1
batasan,-1
batin,-1
bau,-1
bawahan,-1
bayangan,-1
beban,-1
bejat,-1
bekas,-1
bekerja,1
beku,-1
belerang,-1
belitan,-1
bellicose,-1
benar,1
bencana,-1
benci,-1
bengah,-1
bengis,-1
bengkak,-1
bengkok,-1
benjolan,-1
bentrokan,-1
beracun,-1
beragam,1
berakhir,-1
beralasan,1
berang,-1
berani,1
berani,-1
berantakan,-1
berapi,1
berarti,1
berat,-1
berawan,-1
berbahaya,-1
berbakat,1
berbakat,-1
berbatu,-1
berbau,-1
berbeda,-1
berbelit-belit,-1
berbisa,-1
berbohong,-1
berbuih,-1
bercahaya,1
bercita-cita,1
berdalih,-1
berdarah,-1
berdebar,1
berdebu,-1
berdedikasi,1
berdengung,-1
berdenyut,-1
berderak,-1
berderit,-1
berdetak,-1
berdosa,-1
berduka,-1
berduri,-1
berdusta,-1
berebut,-1
berempati,1
bergaira,1
bergairah,1
bergairah,-1
bergaya,1
bergegas,-1
bergelombang,-1
bergema,1
bergengsi,1
bergerigi,-1
bergetar,-1
bergolak,-1
bergulat,-1
berguna,1
berhalusinasi,-1
berharga,1
berhasil,1
berisik,-1
berisiko,-1
berjaga,-1
berjaya,1
berjuang,-1
berkarat,-1
berkat,1
berkedip,-1
berkeinginan,1
berkelanjutan,1
berkelas,1
berkelip-kelip,1
berkembang,1
berkenan,-1
berkeringat,-1
berkerut,-1
berkhayal,-1
berkhotbah,-1
berkilau,1
berkilau,-1
berkilauan,1
berkolusi,-1
berkotek,-1
berkubang,-1
berkurang,-1
berlangganan,-1
berlawanan,-1
berlebihan,-1
berlemak,-1
berlepotan,-1
berlimpah,1
berlumpur,-1
bermacam-macam,-1
bermanfaat,1
bermanuver,1
bermartabat,1
bermasalah,-1
berminyak,-1
bermuram,-1
bermusuhan,-1
bernilai,1
berombak,-1
berongga,-1
berpendidikan,1
berpengalaman,1
berpengaruh,1
berperang,-1
berpetak-petak,-1
berpikir,1
berprasangka,-1
berprestasi,1
berprinsip,1
berpura-pura,-1
bersabun,-1
bersaing,-1
bersakit,-1
bersalah,-1
bersanding,-1
bersatu,1
bersekongkol,-1
berselang,-1
bersemangat,1
bersemangat,-1
bersembunyi,-1
bersenandung,-1
bersenang-senang,1
berseri,1
bersih,1
bersikeras,-1
bersinar,1
bersisik,-1
bersorak,1
bersungut-sungut,-1
bersyukur,1
bertakhyul,-1
bertanya-tanya,1
bertekun,1
bertele-tele,-1
bertengkar,-1
bertentangan,-1
berteriak,-1
berterimakasih,1
bertiga,-1
bertingkah,-1
berubah-ubah,-1
berulang-ulang,-1
beruntung,1
berusaha,1
berwibawa,1
biadab,-1
bias,-1
biasa,-1
bidaah,-1
bijaksana,1
bijaksana,-1
bikinan,-1
bimbang,-1
bimbingan,1
binasa,-1
bingung,-1
bintang,1
Bizantium,-1
bla,-1
blockbuster,1
bobrok,-1
bocor,-1
bodoh,-1
bodohnya,-1
bohong,-1
bom,-1
bombastis,-1
boneka,-1
bonus,1
booming,1
boros,1
boros,-1
bosan,-1
bowdlerize,-1
bragger,-1
bravo,1
brengsek,-1
brutal,-1
bs,-1
bual,-1
buas,-1
budak,-1
bug,-1
bulkier,-1
bullish,1
bulu,-1
buntu,-1
buram,-1
buritan,-1
buronan,-1
buruk,-1
busuk,-1
buta,-1
cabul,-1
cacat,-1
cacian,-1
cahaya,1
cakap,1
calo,-1
cambuk,-1
canggih,1
canggung,-1
cantik,1
Cantik,1
cara,-1
casanova,-1
cebol,-1
cedera,-1
cekatan,1
cekcok,-1
cekung,-1
celaan,-1
celah,-1
celaka,-1
cemas,1
cemas,-1
cemberut,-1
cemburu,-1
cemerlang,1
cemooh,-1
cemoohan,-1
cengeng,-1
cengking,-1
cepat,1
cepat,-1
cerah,1
cercaan,-1
cerdas,1
cerdik,1
cerdik,-1
ceria,1
cermat,1
ceroboh,-1
chic,1
chintzy,-1
cinta,1
cocok,1
compang-camping,-1
concen,-1
contoh,1
contortions,-1
convient,1
corrosions,-1
craps,-1
crash,-1
cukup,1
culun,1
cuplrit,-1
curam,-1
curang,-1
curiga,-1
damai,1
dangkal,-1
danke,1
danken,1
deadbeat,-1
debaser,-1
debaucher,-1
debu,-1
defensif,-1
degenerasi,-1
degil,-1
degradasi,-1
dehumanisasi,-1
dekaden,-1
dekadensi,-1
delusi,-1
demam,-1
demoralisasi,-1
dendam,-1
Dendeng,-1
dengki,-1
denyutan,-1
depresi,-1
derita,-1
dermawan,1
desersi,-1
desis,-1
despoiler,-1
despotisme,-1
destabilisasi,-1
Destains,-1
destruktif,-1
deviasi,-1
dewasa,1
diacak,-1
diakui,1
diam,1
diam,-1
diam-diam,-1
diametral,-1
diappointed,-1
dibakar,-1
dibantai,-1
dibatalkan,-1
dibebaskan,1
dibedakan,1
dibenci,-1
diberhentikan,-1
diberikan,1
dibersihkan,1
dibuang,-1
dibuat-buat,-1
dibumbui,1
dicela,-1
dicerca,-1
dicintai,1
dicuci,-1
dicuri,-1
didapat,1
didukung,1
diejek,-1
digantung,-1
dihaluskan,-1
dihancurkan,-1
dihargai,1
dihentikan,-1
Dihilangkan,1
dihormati,1
diidolakan,1
diinginkan,1
diizinkan,1
dijanjikan,1
dijauhi,-1
dikaburkan,-1
dikagumi,1
dikalahkan,1
dikebiri,-1
dikelola,1
dikembalikan,1
